speaker_id,tag,n_rows
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,pause,2639
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,normal voice,2536
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,clearing throat,1265
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,quickly,1203
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,cough,1123
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,warmly,1091
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,long pause,1082
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,chuckle,1072
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,trailing off,1007
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,slowly,1005
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,confidently,987
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,sigh,912
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,warm,905
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,firmly,894
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,monotone,893
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,very quietly,888
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,whispering,886
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,passionately,791
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,friendly,782
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,delighted,776
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,very slowly,774
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,deep pitch,773
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,exhausted,773
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,more firmly,729
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,animated,728
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,mumbling,728
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,curious,726
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,laugh,722
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,playful,711
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,bitter laugh,710
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,hesitantly,693
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,belly laugh,691
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,shouting,684
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,mocking,668
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,stern,668
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,excited,661
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,joking,653
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,speeding up,650
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,sarcastic,649
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,frustrated,642
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,bitter,636
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,cheerful,636
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,quieter,636
6153c1ff-399e-4bdc-bcdf-bdd0219d2fc1,gasp,621
