idx,wav_path,original_filename,script_content
0,wavs/000.wav,693c79d60bee6_12410_collection_122_108.wav,"[uncomfortable pause] That's... a lot to share with a stranger. [carefully measured] Perhaps you should consider a different career path. [quickly] Goodbye now, and please don't call again."
1,wavs/001.wav,693c79d60bee6_12410_collection_122_113.wav,"[dispassionately] The mark should exit the building in twelve minutes [suddenly booming] OH MY GOD that puppet bit! [voice tightening with suppressed anger] Stop making me laugh, I have a reputation."
2,wavs/002.wav,693da82759ac2_31817_collection_218_98.wav,"[in feminine voice] Sophie's made a tactical error trying to navigate through the balloon forest, [laugh heartily] she's down, she's definitely down, [tone turning distant, as if distracted] wait, is that my mother-in-law filming this?"
3,wavs/003.wav,693c79d60bee6_12410_collection_122_106.wav,"[slightly curious] Seventy percent? [back to monotone] That's either desperation or your product is overpriced to begin with. [Snorts] Neither option really inspires confidence in your company, does it?"
4,wavs/004.wav,693c79d60bee6_12410_collection_122_104.wav,"[irritated] You've been stalking our tech stack? [sarcastic tone] How wonderfully invasive of you. [trailing off] Look, even if I wanted to meet, which I don't, I'd need board approval first."
5,wavs/005.wav,693c79d60bee6_12410_collection_122_124.wav,"[Starting smooth, ending in a growl] Success isn't about waking up at 4 AM, it's about knowing when to say [growing higher pitched] ""I need eight hours of sleep to be brilliant!"""
6,wavs/006.wav,693c79d60bee6_12410_collection_122_137.wav,"[in elderly voice] These old bones have seen thousands graduate, [cough dryly] most forgotten within a semester, [extremely energetic suddenly] but she's rewriting the textbooks I've been teaching from!"
7,wavs/007.wav,693da82759ac2_31817_collection_218_89.wav,"[laugh loudly] I journal sometimes! [cry] Mostly lists of people who annoyed me and detailed revenge fantasies involving minor inconveniences. [very quietly] Very therapeutic, actually."
8,wavs/008.wav,693c79d60bee6_12410_collection_122_157.wav,[strong enunciation] You must let me through because [puff] [quickly] I'm absolutely dying to perform at the castle and killing it is my specialty!
9,wavs/009.wav,693c79d60bee6_12410_collection_122_107.wav,"[cold] Your mother's grave? [incredulous] That's a bit dramatic for software sales, don't you think? [matter-of-fact] I have to go now, this conversation has become uncomfortable for both of us."
10,wavs/010.wav,693c79d60bee6_12410_collection_122_100.wav,"[surprisingly gentle] She won't run. [measured pace] Deep down, Mom knows she needs help—she's probably been waiting for someone to catch her. [long exhale] We'll get through this together, as a family. [voice hardening] But the lying stops tomorrow."
11,wavs/011.wav,693c79d60bee6_12410_collection_122_112.wav,"[rapidly muttering] Okay okay focus, target's late, ETA unknown [ahems politely] but this juggler's actually hilarious [speeding up] — wait did he just drop all three balls on purpose?"
12,wavs/012.wav,693da82759ac2_31817_collection_218_96.wav,"[grudgingly] Right, right, but we've got an inquiry here folks, [chesty cough], looks like Aunt Martha's calling interference on the juice box incident, [visibly nervous] though I maintain it was within regulation spill parameters."
13,wavs/013.wav,693c79d60bee6_12410_collection_122_102.wav,"[flatly] Good for Thompson Industries. [drawn-out syllables] We have our own processes that work just fine. [dismissively] Besides, I heard Thompson's CEO likes to exaggerate his success stories anyway."
14,wavs/014.wav,693c79d60bee6_12410_collection_122_118.wav,"[joking whisper] Between you and me, street performer [struggle to breathe] that impression was spot-on [really excited suddenly] — for sure for sure, better than any entertainment at the safe house!"
15,wavs/015.wav,693c79d60bee6_12410_collection_122_139.wav,"[quaveringly] Her dedication makes me emotional even now... [belch] forgive me, champagne on an empty stomach... [frailty in voice] but I'm too overwhelmed to eat."
16,wavs/016.wav,693c79d60bee6_12410_collection_122_132.wav,[very animated] She's accepting the award right now! [inhale] I need to catch my breath because [growing more trembly with emotion] that brilliant mind once struggled in my classroom.
