tag,n_rows,n_speakers,mean_duration_s
pause,2639,211,14.786
normal voice,2536,176,14.299
clearing throat,1265,204,15.051
quickly,1203,204,13.495
cough,1123,203,14.159
warmly,1091,207,16.274
long pause,1082,201,15.017
chuckle,1072,203,14.138
trailing off,1007,202,14.104
slowly,1005,174,15.408
confidently,987,195,15.279
sigh,912,187,14.389
warm,905,155,14.248
firmly,894,206,16.331
monotone,893,198,13.532
very quietly,888,170,14.121
whispering,886,181,14.336
passionately,791,170,14.456
friendly,782,169,14.034
delighted,776,186,14.133
very slowly,774,174,15.567
deep pitch,773,162,13.961
exhausted,773,188,15.460
more firmly,729,200,15.613
mumbling,728,185,13.953
animated,728,158,13.826
curious,726,176,14.384
laugh,722,179,13.958
playful,711,154,13.605
bitter laugh,710,199,15.265
hesitantly,693,169,14.687
belly laugh,691,173,13.881
shouting,684,200,13.212
stern,668,156,13.802
mocking,668,186,13.668
excited,661,180,13.806
joking,653,168,13.539
speeding up,650,181,13.270
sarcastic,649,158,14.007
frustrated,642,187,14.993
quieter,636,197,15.524
bitter,636,164,14.033
cheerful,636,172,14.084
gasp,621,183,13.398
softer,620,196,15.747
confused,609,178,14.316
more seriously,605,204,15.295
more quietly,598,190,14.569
enunciating every word,595,148,14.600
deep breath,593,203,15.424
sniffle,591,179,14.117
groan,590,174,14.120
empathetically,588,116,14.514
relieved,587,186,14.744
short pause,587,153,13.167
thoughtfully,586,194,16.221
nervous laugh,585,207,14.827
regretful,582,163,14.180
smiling speaking,582,142,13.266
enthusiastically,582,191,15.574
very quickly,581,157,12.990
formal,580,159,13.986
laugh loudly,579,158,14.565
voice breaking,572,199,15.620
child-like,545,153,13.418
laugh hard,543,155,14.659
happy,540,146,13.752
louder,540,176,15.523
cheerfully,537,191,16.213
voice cracking,534,195,15.053
bored,532,183,13.934
furious,524,159,13.685
over confidently,519,155,13.803
proudly,513,183,15.649
condescending,505,159,13.915
voice dropping lower,504,168,14.456
whispering loudly,503,138,13.513
anxious,496,146,13.576
angry,489,150,13.727
high-pitched,487,159,12.850
upset,485,169,13.514
sad,480,148,14.766
loudly,478,150,13.126
laughing,477,185,15.164
stuttering,476,151,14.544
extremely happy,475,155,13.470
voice softening,472,162,13.941
very sincerely,472,94,13.741
professionally,471,176,18.073
flirtatious,466,149,14.090
determined,466,181,15.400
slurring,465,166,14.642
very excited,461,150,13.553
sleepily,460,162,14.594
apologetic,458,158,14.334
very sad,445,148,14.302
gasp softly,445,139,13.563
sarcastically,433,184,16.152
yawn,431,175,15.149
gasp loudly,411,146,13.395
very loudly,410,141,13.607
shy,405,147,14.451
overly polite,402,145,14.058
pleading,399,192,15.218
"normal voice, laughing",390,146,13.951
crying while speaking,388,147,14.623
voice hardening,387,153,14.694
desperately,382,179,15.487
whispered,377,165,15.799
jealous,372,149,13.961
triumphantly,366,171,15.031
"normal voice, frustrated",365,131,14.113
stronger,363,158,15.627
more intensely,362,177,14.984
laugh hysterically,356,131,15.142
sneeze,355,162,14.988
groans,349,172,17.075
words speeding up,344,167,13.437
sighs,344,166,18.028
amused,340,169,14.989
